pwsid,pws_name
VA4103338,FOREST HILLS SUBD
UTAH06048,BOYER HILL MILITARY HOUSING
VA2171400,LAMBERT`S MOBILE VILLA
OK3006304,CENTRAL OKLAHOMA JUVENILE CENTER
UTAH13002,CHURCH WELLS SSD
CA2000849,MD 60 DILLON ESTATES
CA2300667,"WOODS, THE (MENDOCINO)"
CA4901346,DELORES LANE WATER SYSTEM
AZ0410317,FRANCESCA WATER CO AMBER ANN
CA1000056,MEADOW LAKES CLUB
CA1010024,CWS - SELMA
CA1010023,CITY OF ORANGE COVE
CA5201140,ANTOINETTE MUTUAL WATER CO
CA5301201,SEYMOUR'S MUTUAL WATER SYSTEM
VA4073735,R&L TRAILER PARK
VA4075100,CROZIER
VA5067020,ALTON PARK
TN0000403,DOWELLTOWN-LIBERTY UTILITY DIST
UTAH09089,TURN ABOUT RANCH
UTAH19004,MONTICELLO CITY
UTAH22117,BRIDGE HOLLOW WATER ASSOCIATION
OH8301012,LEBANON CORRECTIONAL INSTITUTION
OK3000606,GREENFIELD PWA
OK3004709,DIBBLE
TN0000211,DYERSBURG WATER DEPT
VA4103985,WINDMILL POINT
UTAH23009,LINCOLN CULINARY WATER ASSN
UTAH27071,WASHINGTON COUNTY WCD - COTTAM
VA1035745,TOWER ROAD
VA2139385,LURAY HOMES
UTAH06019,NORTH SALT LAKE CITY WATER SYSTEM
WA5315663,WILLARD
AR0000337,KEO WATER WORKS
CA4300630,FOOTHILL MUTUAL WATER COMPANY
CA4510006,CITY OF SHASTA LAKE
CA4100509,COUNTY SERVICE AREA 7
CA4300571,SULLIVAN MUTUAL WATER
VA6059550,"HERNDON, TOWN OF"
CA3910005,"MANTECA, CITY OF"
CT1051011,BOXWOOD CONDOMINIUM ASSOCIATION
CA4400754,MONTE VISTA CHRISTIAN SCHOOL
CT1120051,POMFRET SCHOOL
CA4410011,"WATSONVILLE, CITY OF"
WY5600181,COZY MOBILE HOME PARK
WY5600189,"ALBIN, TOWN OF"
WY5601592,ALCOVA DAM TRAILER PARK
AK2292330,KENNY LAKE FIRE HALL
AK2298002,MOUNTAIN VIEW APARTMENTS
AK2390756,CLEAR SPACE FORCE STATION  MAIN
WY5680103,GTNP-JACKSON LAKE LODGE
CA4900646,ALEXANDER VALLEY ACRES WATER COMPANY
WY5600030,"LINGLE, TOWN OF"
CA1000075,TRACT 1199 WATER SYSTEM
CA1510701,EDWARDS AFB - MAIN BASE
CA1900616,THE RIVER COMMUNITY
CA3010022,GOLDEN STATE WC - WEST ORANGE COUNTY
CA3301534,RANCHO CALIMESA MOBILE HOME PARK
CA3310002,BEAUMONT CHERRY VALLEY WD
CA3310007,COACHELLA WATER AUTHORITY
CA3310032,"SAN JACINTO, CITY OF"
ID2290036,APPALOOSA COURT
NY3920885,MOUNT EBO WS
NV0000172,PINEVIEW ESTATES
NY0301664,DICKINSON WD #2
NY0310143,DICKINSON WD #7
NY1819060,GODFREYS POND
AK2271721,NIGHTMUTE NEW WATERING POINT
MT0004562,DAKOTA VALLEY MOBILE HOME PARK
NY2622401,MOUNT PLEASANT
NY3100564,LOCKPORT CITY WTP
NY3300991,DELPHI FALLS PARK
NY3600600,MEDINA VILLAGE
NY0301651,"BINGHAMTON, CITY OF"
NY0311221,DICKINSON WD #5
NY1101762,HARFORD WATER DISTRICT #1
NY5103692,BRENTWOOD WD
NY2000126,INDIAN LAKE WD
OH5300403,RUTLAND VILLAGE PWS
NY5220232,NEW HOPE MANOR
NY5304407,NEWARK VALLEY VILLAGE
NY5501372,ULSTER LANDING MOBILE COURT
NY3800153,MORRIS VILLAGE
OK2004538,TEXOMA HILLS
OK2004617,SPRING COVE RESORTS
OH2502112,OAK HILLS MOBILE HOME PARK
NY5201339,WHISPERING PINES COMMUNITY
NY5530250,HIGH FALLS WATER DISTRICT
NY5903448,BLOOMERSIDE WATER SUPPLY
OH7707412,PEBBLE CREEK CONVALESCENT CENTER
OH8000412,RICHWOOD VILLAGE PWS
OK1010808,PAULS VALLEY
OK2002305,ARNETT
CT0098011,AQUARION WATER CO OF CT-CHIMNEY HEIGHTS
CT0580041,CTWC - BAY MOUNTAIN
CT0710011,CAREFREE HOMEOWNERS ASSOCIATION
CT0710021,AQUARION WATER CO OF CT-LEBANON DIVISION
DE0000960,FOREST GROVE PUMP DISTRICT
DE00A0188,LONG NECK VILLAGE
DE00A0673,WINDSONG FARMS (AWC)
DE00A0770,GANDER WOODS PUMP DISTRICT
GA1030146,HUNTER`S CHASE / ABBY LANE
CT0815051,MIDDLEBURY COMMONS
CT1520071,WATERFORD WPCA
GA0290080,SOUTH ATLANTIC UTILITIES-BRYAN COUNTY(S)
GA0510006,THUNDERBOLT
GA0510031,HOLIDAY MOBILE HOME PARK
GA0710072,TALLOKAS ESTATES
DE0000654,SELBYVILLE WATER DEPARTMENT
OK3001702,RANDLETT PWA
OK3004616,MAYES CO RWD # 5
GA0710082,DEER RUN ESTATES MHP
GA0770037,WEDGEWOOD ESTATES SUBDIVISION
GA0790008,CRAWFORD COUNTY ESTATES
GA0810011,EAST CRISP APARTMENTS
GA0890001,DEKALB COUNTY
GA0950065,CREEKSIDE RV PARK
GA1030117,CASTLEWOOD-CLEARVIEW-WARNER FIELDS
GA1070037,LONG BAY MOBILE HOME PARK
GA1270191,PALMETTO BLUFF
GA1330049,HIDDEN POINT / WHTIE OAK S/D
GA1670001,SCOTT WATER & SEWER AUTHORITY
GA1830062,HORSE CREEK FARMS
GA1910087,EVERGREEN MOBILE HOME VILLAGE
GA2210057,ARROW WOOD SUBDIVISION
GA2670005,ROGERS STATE PRISON
GA2770001,TIFTON-TIFT COUNTY WATER SYSTEM
GA2790015,PETROSS SUBDIVISION
GA2790044,WOODBRIDGE WATER SYSTEM
GA3050099,GARFIELD DRIVE MOBILE HOME PARK
IL0312310,ORLAND PARK
IL0510020,KASKASKIA SPRINGS WATER CO.
IL0855150,UTL INC-APPLE CANYON UTILITIES COMPANY
IL0970190,BEACH PARK
IL1135689,MEADOWS MENNONITE HOME
IL1615450,HICKORY HILLS 2ND ADDITION
GA1750005,MONTROSE
IL1550050,GRANVILLE
GA0750039,SUNSHINE ACRES MHC
IL0290010,LONGACRE ESTATES MHP
IL1090380,KILJORDAN MEADOWS
IL1730350,SIGEL
IL1990500,JOHNSTON CITY
ID4430103,MEADOWS AT WEST MOUNTAIN
ID6030026,TWIN PINES MOBILE PARK
IN5213003,GRANTSBURG RURAL WATER COMPANY
IN5220014,MIDDLEBURY WATER DEPARTMENT
IN5283003,CLINTON TOWNSHIP WATER COMPANY
IL1490750,PITTSFIELD
IN5220035,TALL OAKS MOBILE HOME PARK
IN5225006,ROCHESTER WATER DEPARTMENT
IN5227005,FAIRMOUNT WATER WORKS
IN5241010,INDIANA MASONIC HOME
IN5243019,PINECREST/STUCKMAN MOBILE HOME PARKS
IN5244001,FAWN RIVER CROSSING
IN5245041,SCHERERVILLE WATER DEPARTMENT
IN5245057,"IN WATER SERVICES, INC."
IN5254006,LADOGA WATER WORKS
IN5259003,ORLEANS WATER WORKS
IN5268012,RIVERSIDE COMMUNITY
IN5272001,SCOTTSBURG WATER DEPARTMENT
IN5273001,BLUE RIVER ESTATES MOBILE HOME PARK
IN5229012,TALL TIMBERS MOBILE HOME PARK
IN5244011,PIONEER COUNTRY ESTATES
IN5285020,WHITES RESIDENTIAL & FAMILY SERVICES
MI0000325,ROCHESTER HILLS
MI0001023,BYRON-GAINES UTILITY AUTHORITY
MI0000020,ADAMS TOWNSHIP
MI0001640,"CORUNNA, CITY OF"
MI0001810,DEXTER
MI0001932,"EAGLE VILLAGE, INC."
MI0003930,LIVONIA
MI0003940,LOCH ALPINE SANITARY AUTHORITY
MI0005180,MAN NOR FARMS SUBDIVISION
MI0005235,PENNY LAKE ESTATES SUBDIVISION
MI0004873,OAK HAVEN
MI0006443,SUE KAY APARTMENTS
MI0006803,VILLA NOUVA ASSOCIATION
MI0006820,WOODLAND CENTER CORRECTIONAL FACILITY
NY1302804,DOVER RIDGE ESTATES
NY5304410,WAVERLY VILLAGE
NY5903150,YESHIVA FARM SETTLEMENT
NY5903482,WESTCHESTER COUNTY WD #3
NY5910496,SOMERS MANOR NURSING HOME
OH0800811,WAYNOKA REGIONAL WATER AND SEWER DIST
NY3902003,LAKE PROPERTIES
OH6700412,BLACKBROOK VALLEY ESTATES
OK2001303,BOISE CITY PWA
MI0000180,ALPHA
MI0001545,MAIN STREET APARTMENTS
MI0003010,"HARBOR SPRINGS, CITY OF"
OK1021711,CHEROKEE CO. RWD #2 (KEYS)
OK2000501,ELK CITY
MI0040020,MAPLE GROVE ESTATES
GA2510001,NEWINGTON
OH2300512,COLONY VILLAGE MHP
NY3517037,BLACKBURNE WATER CORP
NY3700920,FOX MEADOW MHP
NY3700940,WOODED ACRES MOBILE HOME PARK
UTAH11087,CHEKSHANI CLIFFS HOA
UTAH18173,VA MEDICAL CENTER SLC
GA2610000,AMERICUS
GA2790001,SANTA CLAUS
GA3050009,SPRING GROVE SUBDIVISION
GA3050041,BON AIR APARTMENTS
UTAH26080,TWIN CREEKS SSD
UTAH27094,WASHINGTON COUNTY WCD - QUAIL LAKE
IL1130750,LE ROY
IL1615728,HILLSDALE PROPERTIES
IL1930010,BURNT PRAIRIE
IL1975140,BONNIE BRAE FOREST MANOR SNDST
IN5210005,INDIANA AMERICAN WATER - S. INDIANA
IN5215003,CITY OF GREENDALE UTILITIES
GA2910051,WILSON MTN SUBDIVISION
IN5219009,JASPER MUNICIPAL WATER UTILITY
OK2001801,WELCH PWA
OK2001994,CREEK CO RWD # 5
OK2005530,SOONER UTILITIES-STAR VIEW
OK3001802,CRAIG CO RWD #2
OK3007415,WASHINGTON CO RWD #7
IN5233002,GOLDEN PEBBLES ESTATES
IN5234009,VILLAGE GREEN MOBILE HOME PARK
IN5245012,EAST CHICAGO WATER WORKS
IN5245015,INDIANA AMERICAN WATER - NORTHWEST
IN5245047,CEDAR LAKE WATER WORKS
IN5248010,INDIANA AMERICAN WATER - SUMMITVILLE
IN5250008,MAPLE LEAF MOBILE HOME PARK
IN5251003,"NAVAL SUPPORT ACTIVITY, CRANE"
IN5257010,LIGONIER WATER WORKS
IN5261002,LYFORD WATER WORKS
IN5267009,"SOUTH 43 WATER ASSOCIATION, INC."
IN5284002,FAYETTE TOWNSHIP WATER ASSN.
IN5286004,WILLIAMSPORT WATER UTILITY
MI0002356,FORESTER TOWNSHIP
MI0002440,FRANKLIN KNOLLS SUBDIVISION
MI0003015,HARBOR SPRINGS AREA AUTHORITY
MI0003139,HIGHLAND MEADOWVIEW APARTMENTS
MI0003666,KNORRWOOD KNOLLS SUBDIVISION
MI0004760,PENNFIELD TOWNSHIP
IN5220029,WAKARUSA WATER WORKS
IN5276036,GOLDEN ACRES MOBILE HOME PARK
IN5291015,WOLCOTT WATER WORKS
MI0001530,COLOMA
MI0007099,VILLAGE AT EAGLE GARDENS
IN5252022,CEDAR CREEK MOBILE HOME PARK
IN5276012,COACHLIGHT MHP LLC
MD0050208,MEADOWBROOK COURT
MI0040519,SILVER CREEK ESTATES MOBILE HOME COURT
OK3004108,MEEKER PUBLIC WORKS AUTHORITY
VA1169350,BOOZY CREEK/SCOTT CO PSA
VA1169725,SCPSA - NICKELSVILLE
VA3183750,"STONY CREEK, TOWN OF"
IN5205004,MONTPELIER WATER WORKS
IN5212010,TERRACE HILLS MHC
IN5218014,YORKTOWN WATER DEPARTMENT
IN5219002,DUBOIS WATER UTILITIES
VA2109825,TWIN OAKS COMMUNITY
VA4041035,APPOMATTOX RIVER WATER AUTHORITY
VA4119600,TOWN OF SALUDA
VA4133280,FLEETON
VA6047340,MOUNTAIN VIEW TRAILER PARK
VA6099340,"NAVAL SUPPORT FACILITY, DAHLGREN"
WY5601176,SKYLINE VILLAGE MOBILE HOME PK
AL0001078,SNOWDOUN WATER SYSTEM INC
CA0910019,LAKESIDE PARK ASSOCIATION
AR0000715,EAST MONROE COUNTY WATER USERS
CA3410001,SACRAMENTO SUBURBAN WATER DISTRICT
CA3600008,APPLE VALLEY FOOTHILL CWD
OK3003703,CASHION
VA5067466,LYNVILLE ON THE LAKE
CA1210019,HYDESVILLE CO. W.D.
CA1000299,THREE PALMS MOBILEHOME PARK
CA3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA
CA3600222,JUNIPER RIVIERA CWD
CA4200531,RANCHO MARCELINO WATER
CA3010046,CITY OF TUSTIN
CA3301775,HIGH VALLEYS WATER DISTRICT
CA3600397,MOSS MOBILE MANOR
CA3610085,SAN ANTONIO WATER COMPANY
CT0791001,"MARLBOROUGH HEALTH CARE CENTER, INC"
CA3901092,SAN JOAQUIN WATER WORKS #2
CT0970041,AQUARION WATER CO OF CT-OWSC
CA4210013,SOLVANG WATER DIVISION
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.
CA4400502,TROUT GULCH MUTUAL WATER COMPANY
CA4400665,MEADOWRIDGE MUTUAL WATER CO
AZ0407409,CHANDLER HEIGHTS CITRUS IRRIGATION DIST
CA4810800,CALIFORNIA STATE PRISON - SOLANO
CA4900792,WAYSIDE GARDENS MOBILE HOME PARK
CA4900943,ALLIANCE REDWOODS CONFERENCE GROUNDS
CA0710007,DIABLO WATER DISTRICT
CA5500041,ALPINE ACRES MUTUAL WATER CO
CA5601117,SENIOR CANYON MUTUAL WATER CO
CA0800555,GASQUET C.S.D.
CA4500255,SACRAMENTO RIVER RV PARK
CA0710002,GOLDEN STATE WATER COMPANY - BAY POINT
CT0030041,BIRCH HILLS CONDOMINIUMS
CA4700546,CAL ORE MOBILE ESTATES
CA5000055,OLIVE LANE MOBILEHOME PARK
CT1630021,WYNDHAM PARK APARTMENTS
CA5400537,LINDY'S LANDING
DE0000267,COLONIAL ESTATES MOBILE HOME PARK
DE0000270,PINE RIDGE MOBILE HOME PARK
DE0000566,DELAWARE CITY WATER DEPARTMENT (AWC)
CA5602115,SAVIERS ROAD MUTUAL WATER CO
CA5610005,MEINERS OAKS CWD
DE00A0404,SOUTH SHORES
GA0510044,RIO VISTA/BURNSIDE
GA1030036,RED GATE MOBILE HOME PARK
GA1030129,BUCKFIELD PLANTATION/PLEASANT HILL S/D
GA1050013,NANCY HART NURSING CENTER
GA1130000,BROOKS
GA1330067,NORTHWOODS S/D
NY5203338,NARROWSBURG WD
NY1330454,SAGAMOR WATER CORPORATION
NY1330660,UNITED WAPPINGER WATER IMPROVEMENT DIST.
NY6030009,WYOMING CORRECTIONAL
NY3503569,SLATE HILL (GREEN)
NY3905686,FOREST PARK HOMES
CA5610021,WARRING WATER SERVICE INC
NY4600073,NISKAYUNA CONSOLIDATED WD #11
OH5202312,GRANGER LAKE CONDOS 2 AND 3
CA3610110,ARROWBEAR PARK CWD
CA3910024,SAN JOAQUIN COUNTY - WILKINSON MANOR
CA4910007,"SEA RANCH WATER COMPANY,THE (PUC)"
CA4910029,CAMP MEEKER WATER SYSTEM
IN5243013,MENTONE WATER COMPANY
IN5245042,SCHNEIDER WATER DEPARTMENT
NY5903831,KITCHAWAN WATER DISTRICT
NY4100042,NASSAU (V) PWS
NY3905675,CARMEL WD 4
VA5025150,BRUNSWICK IDA - NORTH
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS
CA3710042,SAN DIEGO COUNTY WATER AUTHORITY
CT0860051,DEER RUN SUPPLY
CA4000705,LAGUNA NEGRA MUTUAL WATER CO.
CA4000802,SANTA YSABEL RANCH MWC
CA4900608,SIX ACRES WATER COMPANY
CA4900723,SHAMROCK MOBILE HOME PARK
CA4900728,EVERGREEN MOBILE ESTATES
CA5100125,HARMONY VILLAGE
CA5810700,BEALE AIR FORCE BASE
IL1615550,EDGINGTON WATER DISTRICT
GA1910009,JOHN ALFORD SUBDIVISION
IN5219001,BIRDSEYE WATER SYSTEM
NY3800156,RICHFIELD SPRINGS VILLAGE
OK1021640,MAYES CO RWD # 3
IN5246017,LAPORTE WATER WORKS
IN5248006,EDGEWOOD WATER DEPARTMENT
IN5253014,SHADY SIDE WATER CORPORATION
IN5258001,"ABERDEEN PATE WATER COMPANY, INC."
IN5254009,NEW RICHMOND WATER WORKS
IN5264013,KOUTS WATER WORKS
IN5291011,MONTICELLO WATER WORKS
NY4130313,BROOK POINTE
UTAH25153,HOBBLE CREEK HAVEN DEVELOPMENT
VA1035066,CANA REGIONAL WATER SYSTEM
VA1071660,"PEARISBURG, TOWN OF"
VA1191295,HAYTER`S GAP
ID7260080,PEPPERWOOD CROSSING/ROCKY MNT UTILITIES
OK2005804,OTTAWA CO RWD # 2
OK3006629,CATOOSA
OK3007701,FORT SUPPLY PWA
IN5264017,LIBERTY FARMS MOBILE HOME PARK - #1
GA0310002,PORTAL WATER SYSTEM
GA1850318,KINGSTON ESTATES SUBDIVISION
IN5213002,ENGLISH WATER WORKS
IN5231004,PALMYRA WATER WORKS
IN5269007,NAPOLEON COMMUNITY RURAL WATER CORP.
IN5274004,GENTRYVILLE WATER UTILITY
GA1910073,EAGLE NECK SUBDIVISION
GA2090015,WILDWOOD
GA2210060,THE ESTATES AT HAWKS LANDING WS
IL0310930,FOREST VIEW
IL0312700,ROBBINS
IN5226009,"GIBSON WATER, INC."
IN5229025,INDIANA ACADEMY
IN5238001,DUNKIRK WATER DEPARTMENT
IN5240005,HAYDEN WATER ASSOCIATION
IN5271009,MISHAWAKA UTILITIES
IN5271017,WALKERTON LIGHT & WATER
IN5290001,BLUFFTON UTILITIES WATER DEPT
MI0003390,IRA TOWNSHIP
MI0003640,KINGSFORD
IN5285013,ROANN WATER WORKS
IN5220001,BRISTOL MOBILE VILLAGE
MI0004260,MERIDIAN TOWNSHIP
MI0006696,TWIN LAKES SUBDIVISION
MI0006950,WAYNE
MI0007062,WHITE DEER VILLAGE
MI0040116,DUTCH HILLS
MI0040131,TRADEWINDS MOBILE HOME PARK
MI0061700,CURRY HOUSE ASSISTED LIVING CENTER
VA6137900,WOLFTRAP WOODS
WA5363200,OKANOGAN WATER DEPARTMENT CITY OF
AK2220169,NORTHWOOD APARTMENTS
CA4000563,HIGUERA APARTMENTS
CA4100533,SKYLONDA MUTUAL
CA4300575,TWIN VALLEY INC
CA4400624,RANCHO CORRALITOS
CA4900562,DIAMOND A MUTUAL WATER COMPANY
CA4900640,SONOMA COUNTY MUTUAL WATER COMPANY
AZ0413079,CHINO MEADOWS II
AZ0420439,VISTA DEL NORTE MHP
IN5239010,HANOVER COLLEGE
IN5279023,KINGS RIDGE HOMEOWNERS ASSOCIATION
AK2213598,ALPINE WOODS WATER SYSTEM
AK2220086,NORTH STAR BEHAVIORAL HEALTH SYSTEM
IN5276018,SILVER LAKE RV & MOBILE HOME ESTATES
IN5292006,MIAMI VILLAGE MOBILE HOME PARK
MI0040125,CHALET ESTATES MOBILE HOME PARK
NC0160196,WESTWOOD MHP
NE3104502,DAWES CO RWD 1
NY0311222,DICKINSON WD #6
NY0701005,BIG FLATS WATER DISTRICT 4
NY0900230,DANNEMORA WD # 2
NY1130008,HILLCREST MANOR APARTMENTS
NY3921641,TWIN BROOK MANOR CONDOMINIUM
NY5214954,"FLSQ, LLC"
NY5230245,RAL-HAL / VENETIAN VILLAS
NY1500283,CHESTERFIELD WD
MI0040247,BOERMAN MOBILE VILLAGE
NY5304408,SUEZ WATER OF NICHOLS
WY5600820,YELLOW CREEK ESTATES MHP
NY6000620,WYOMING VILLAGE
NY6030016,COWLESVILLE WATER DISTRICT
NY2201388,GARLAND CITY TRAILER PARK
NY2600973,VALLEY MOBILE HOME PARK
WY5600038,OSAGE WATER DISTRICT
AK2130075,SITKA
AK2223983,HILL TIMBER ESTATES
CA2000552,MD 24 TEAFORD MEADOW LAKES
OH2801912,MIDDLEFIELD MOBILE HOME PARK
AZ0404024,BONITA CREEK WATER COMPANY
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W
WY5600110,"MANVILLE, TOWN OF"
CA1000472,PG&E HELMS SUPPORT FACILITY
CA0310005,PINE GROVE COMM SERV DIST
NY3501327,HUGUENOT ESTATES EAST
CA0410005,CAL-WATER SERVICE CO.-OROVILLE
CA0706005,FARRAR PARK PROPERTY OWNERS
CA1610005,"LEMOORE, CITY OF"
CA1510017,INDIAN WELLS VALLEY W.D.
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM
CA1200701,ORICK C.S.D.
CA1800529,SUSAN HILLS ESTATES WC
CA1300009,WINTERHAVEN COUNTY WATER DISTRICT
CA2010002,CITY OF MADERA
CA2300634,OCEAN'S EDGE ESTATES
AR0000175,NORTHERN OHIO WATER ASSOC
CA3910003,"ESCALON, CITY OF"
CA4110025,NORTH COAST COUNTY WATER DIST
CA4310018,CITY OF CUPERTINO
CA4300978,BRUSH AND OLD WELL MUTUAL WATER COMPANY
CA4400558,SAN ANDREAS MUTUAL WATER CO
CA4400764,MOUNT MADONNA CENTER
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB
CA4900553,PARK ROYAL MUTUAL WATER COMPANY
CA4900558,BELMONT TERRACE MUTUAL WATER COMPANY
CA4900798,"MOUNTAIN VIEW MOBILE ESTATES, LLC"
CA2810002,"CALISTOGA, CITY OF"
CA2910006,NEVADA ID - LOMA RICA
CA3010042,SOUTH COAST WATER DISTRICT
CA3301171,BRADFORD RUN RV
CA3410021,SAN JUAN WATER DISTRICT
CA3500578,LOS MADRONES MWC
CA3900512,MORADA ACRES WATER SYSTEM
DE0000004,GARRISON LAKE PUMP DISTRICT
DE0000220,HUNTER MILL ESTATES PUMP DISTRICT
DE00A0369,WEBBS LANDING PUMP DISTRICT
GA0310192,DRY BRANCH VILLAGE MOBILE HOME PARK
GA1030090,CREEKWOOD FARMS SUBDIVISION
GA0310190,YORKTOWN SUBDIVISION
GA0390043,ELLIOTT`S BLUFF
GA0690031,BAY MEADOWS ESTATES
GA0850000,DAWSONVILLE
GA1030116,HAMPTON CREEK SUBDIVISION
GA1270187,BUCKMEADOW PLANTATION SUBDIVISION
GA1370055,THE ORCHARD DEVELOPMENT
GA1770022,PHILEMA PARK SUBDIVISION
GA1850278,SUMMERFIELD SUBDIVISION
GA2370055,LONG SHOALS LANDING S/D
GA3110014,WINDY ACRES SUBDIVISION
IL0270010,"CARLYLE NORTH WATER COMPANY, INC."
IL0310120,BEDFORD PARK
IL0210050,ASSUMPTION
IL0312970,SOUTH HOLLAND
IL0437160,STEEPLE RUN SBDV
IL0370150,GENOA
IL0690160,IL AMERICAN-ROSICLARE
IL0990200,GRAND RIDGE
IL1135130,WILLOW CREEK NORTH MHP
GA1230076,LAKE BUCKHORN
GA1830052,LONELY  OAK SUBDIVISION
GA1830067,BROOKHAVEN SUBDIVISION
GA1850098,BARKCO VILLAGE SUBDIVISION
GA1850298,CROSS CREEK SUBDIVISION
GA2190058,OLD MILL CHASE SUBDIVISION
IL0370600,WATERMAN
IL0890110,WASCO SD
IL0977100,SYLVAN LAKE 1ST SUBDIVISION
IL1615540,TENNANTS SHADY OAKS SUBDIVISION
IL1671000,ROCHESTER
IL1790100,CREVE COEUR
ID6030008,CHUBBUCK CITY OF
IN5264033,L-A-C UTILITIES
NY1901970,PLATTE CLOVE COMMUNITY
CA2310009,BROOKTRAILS TOWNSHIP CSD
CA2410008,CAL AM - MEADOWBROOK
NY0919482,ALTONA CORRECTIONAL FACILITY
NY1830035,ALABAMA WATER DISTRICT NO.1
NY3903647,LONDON BRIDGE WATER WORKS
NY3905710,GRAYMOOR VILLAGE
NY3907005,MAHOPAC HILLS SENIOR HOUSING
NY0310340,MANNS MOBILE COMMUNITY
NY5405833,SHADY GROVE MOBILE HOME PARK
NY5503746,GARDINER TOWN HOUSE APTS
NY5903456,"SUEZ WATER WESTCHESTER, INC. RD2"
NY6000617,VARYSBURG WATER DISTRICT #1
OH2001203,BRUNERSBURG WD - EVANSPORT
OH3902611,NEW LONDON VILLAGE
OH4301611,PAINESVILLE CITY PWS
OH4501512,JOHNSTOWN VILLAGE PWS
NY4501825,WHISPERING PINES MOBILE ESTS.
NY2701045,HILTON VILLAGE
IN5263004,SPURGEON WATER WORKS
NY1206338,MOUNTAINVIEW MOBILE HOME PARK
GA2550002,CUMBERLAND SPRINGS
OK2003605,KAW CITY WATER AUTHORITY
OK1021616,SPAVINAW
OH4502812,SUBURBAN MOBILE HOME PARK
OK2005504,DEER CREEK RURAL WATER CORP
OK2007101,TIPTON
GA3050076,QUAIL RUN MOBILE HOME PARK
GA3050102,TIMBER RIDGE ESTATES
OH6502512,FOXLAIR FARMS MHP INC.
OH7006012,HEATHERWOOD TERRACE TOWNHOUSES
RI1000009,"ABBEY LANE COMMUNITY ASSN., INC."
TN0000063,BOLIVAR WATER SYSTEM
TN0000479,MOUNTAIN CITY WATER DEPT.
VA4127455,LONG ACRES MOBILE HOME PARK
VA6047300,HERITAGE ESTATES
UTAH13037,NEW PARIA SUBDIVISION
VA3093190,CLYDES DALE MOBILE COMMUNITY
VA4103350,FOXWELLS
VA4133400,INDIAN CREEK ESTATES
VA5067244,WESTLAKE AREA PUBLIC WATER SYSTEM
VA6099275,HANOVER MHP
UTAH22105,SUMMIT COUNTY SERVICE AREA #3
UTAH29023,WEBER BASIN WCD - CENTRAL
UTAH29109,WEBER BASIN WCD - NORTH
VA1105900,WOODWAY WATER AUTHORITY
VA2003475,MILLER SCHOOL
VA3001500,NASA WALLOPS FLIGHT FACILITY
VA3093850,WILLING WORKERS CLUB
VA3095600,LIBERTY RIDGE
VA3183820,BIRCH ISLAND APARTMENTS
GA2810050,HI-RIVER COUNTRY SUBDIVISION
OK2001205,BOSWELL PUBLIC WORKS AUTHORITY
OK2002605,GRADY CO RWD #2
OK2006061,CUSHING
OK2006205,FRANCIS
OK3005752,BURBANK
OH5703715,OAKWOOD VILLAGE MHP
MD0170207,PINE SPRINGS MHP
MI0003946,LOOKING GLASS TERRACES APTS.
MI0005400,PLYMOUTH
MI0005903,SAND BEACH TOWNSHIP
MI0006290,ST IGNACE
MI0003430,IRONWOOD TOWNSHIP
MI0007220,WYOMING
MI0040155,NORTH MORRIS ESTATES
MI0060640,LAKELAND MEDICAL CENTER-BERRIEN CNTR
MT0000514,RICHLAND CO  VALLEY VIEW WUA
OK2001802,BLUE JACKET PWA
OK2002410,WAUKOMIS PWA
OK3002403,KREMLIN
OK3003311,DUKE PUBLIC WATER AUTHORITY
OK3003604,KAY COUNTY RWD #2
TN0000962,DOALNARA RESTORATION SOCI USA
VA4103375,GRANVILLE BAY SUBDIVISION
VA4133440,LEE DALE SHORES
VA4193720,PLACID BAY ESTATES
VA5019685,MOUNTAIN VIEW SHORES
VA5029770,SAINT THOMAS AQUINAS SEMINARY
VA5031690,MOUNTAIN REST ESTATES
MI0002370,FORSYTH TOWNSHIP
MI0002403,FOXFIELD APARTMENTS
MI0003225,HOMESTEAD PINES HOMEOWNERS' ASSOCIATION
MI0003700,"LAKE CITY, CITY OF"
MI0006117,SOUTH POINTE III APARTMENTS
LA1057003,THIBODAUX WATERWORKS
LA1127017,TANNEHILL WATER SYSTEM
OK3003304,MARTHA
MI0040075,LAKECREST MOBILE COURT
MI0040316,FAIRLANE ESTATES
TN0000477,MOSCOW WATER DEPT
VA1169380,SCPSA-BIG MOCCASIN
VA1173300,HUTTON BRANCH
AR0000701,GREEN HILL-BROOKS CHAPEL WATER
VA5083810,VIRGINIA INTERNATIONAL RACEWAY
UTAH25016,LINDON CITY
VA1121580,PRICES FORK/MERRIMAC
VA2003900,WOODS EDGE SUBDIVISION
VA6107350,LOUDOUN WATER - CENTRAL SYSTEM
VA6107725,NORTH SPRING BEHAVIORAL HEALTHCARE
VA6113170,OAK PARK SUBDIVISION
WA5319550,DOCKTON WATER ASSOCIATION
CA3310029,"PERRIS, CITY OF"
